_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Sun Jun 30 21:55:36 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,etroncoso
Sun Jun 30 21:54:25 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,etroncoso
Sun Jun 30 21:54:12 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,etroncoso
Sun Jun 30 20:40:56 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,DSiguenza,MAD,DSiguenza
Sun Jun 30 19:20:13 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,mapozo,MAD,mapozo
Sat Jun 29 02:09:41 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,ARMDZ-CTM-VS05$,MAD,ARMDZ-CTM-VS05$
Sat Jun 29 01:01:11 2024,ARBA-CTCO-BKP01,4723,An attempt was made to change an account's password,ARBA-CTCO-BKP01,bkp01adm,ARBA-CTCO-BKP01,bkp01adm
Fri Jun 28 17:52:23 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,LMuratore,MAD,LMuratore
Fri Jun 28 16:05:46 2024,AZE-CPSA-DC04,4723,An attempt was made to change an account's password,MAD,MSOL_f2675ea66c7b,MAD,e.mronconi
Fri Jun 28 13:46:46 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,LAndreoli,MAD,LAndreoli
Fri Jun 28 13:38:43 2024,AZE-CPSA-DC04,4722,A user account was enabled,MAD,jmaidana_adm,MAD,Tecnologia.Informati
Fri Jun 28 13:38:42 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,jmaidana_adm,MAD,Tecnologia.Informati
Fri Jun 28 13:38:42 2024,AZE-CPSA-DC04,4720,A user account was created,MAD,jmaidana_adm,MAD,Tecnologia.Informati
Fri Jun 28 13:12:53 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,Dbruno
Fri Jun 28 13:12:53 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,Dbruno
Fri Jun 28 13:01:08 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,sv-domainjoin,MAD,ARBA-CTCO-NB069$
Fri Jun 28 13:01:08 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,sv-domainjoin,MAD,ARBA-CTCO-NB069$
Fri Jun 28 11:33:09 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,LGangi,MAD,LGangi
Fri Jun 28 11:32:35 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,LGangi,MAD,LGangi
Fri Jun 28 11:11:34 2024,ARBA-CPSA-DC02,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,e.lvaldez
Fri Jun 28 11:11:34 2024,ARBA-CPSA-DC02,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.lvaldez
Fri Jun 28 11:11:34 2024,ARBA-CPSA-DC02,4720,A user account was created,MAD,e.fbernardi_adm,MAD,e.lvaldez
Fri Jun 28 10:56:47 2024,ARBA-CPSA-DC02,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,e.nspezia
Fri Jun 28 10:56:47 2024,ARBA-CPSA-DC02,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.nspezia
Fri Jun 28 10:56:47 2024,ARBA-CPSA-DC02,4720,A user account was created,MAD,e.fbernardi_adm,MAD,e.nspezia
Fri Jun 28 09:59:30 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,PMunoz
Fri Jun 28 09:59:29 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,PMunoz
Fri Jun 28 07:33:44 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,rcopia
Fri Jun 28 07:33:44 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,rcopia
Fri Jun 28 07:32:53 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,rcopia
