"_time","src_location",conteo
"2025-05-02T00:00:00.000-0300",Argentina,23
"2025-05-02T00:00:00.000-0300",Brazil,1
"2025-05-02T00:00:00.000-0300",Canada,2
"2025-05-02T00:00:00.000-0300",France,2
"2025-05-02T00:00:00.000-0300",Germany,1
"2025-05-02T00:00:00.000-0300",Singapore,5
"2025-05-02T00:00:00.000-0300","United States",57
"2025-05-02T00:15:00.000-0300",Argentina,18
"2025-05-02T00:15:00.000-0300",Brazil,2
"2025-05-02T00:15:00.000-0300",Bulgaria,1
"2025-05-02T00:15:00.000-0300",Canada,1
"2025-05-02T00:15:00.000-0300",France,2
"2025-05-02T00:15:00.000-0300",Germany,3
"2025-05-02T00:15:00.000-0300",Ireland,1
"2025-05-02T00:15:00.000-0300",Singapore,2
"2025-05-02T00:15:00.000-0300","United Kingdom",3
"2025-05-02T00:15:00.000-0300","United States",50
"2025-05-02T00:30:00.000-0300",Argentina,22
"2025-05-02T00:30:00.000-0300",Brazil,1
"2025-05-02T00:30:00.000-0300",France,6
"2025-05-02T00:30:00.000-0300",Germany,2
"2025-05-02T00:30:00.000-0300",Singapore,5
"2025-05-02T00:30:00.000-0300","United Kingdom",4
"2025-05-02T00:30:00.000-0300","United States",42
"2025-05-02T00:45:00.000-0300",Argentina,9
"2025-05-02T00:45:00.000-0300",Brazil,1
"2025-05-02T00:45:00.000-0300",Bulgaria,1
"2025-05-02T00:45:00.000-0300",China,1
"2025-05-02T00:45:00.000-0300",France,2
"2025-05-02T00:45:00.000-0300",Germany,2
"2025-05-02T00:45:00.000-0300",Singapore,5
"2025-05-02T00:45:00.000-0300",Turkey,2
"2025-05-02T00:45:00.000-0300","United Kingdom",2
"2025-05-02T00:45:00.000-0300","United States",50
"2025-05-02T01:00:00.000-0300",Argentina,13
"2025-05-02T01:00:00.000-0300",Brazil,1
"2025-05-02T01:00:00.000-0300",France,2
"2025-05-02T01:00:00.000-0300",Germany,1
"2025-05-02T01:00:00.000-0300","Hong Kong",1
"2025-05-02T01:00:00.000-0300","Korea Republic Of",1
"2025-05-02T01:00:00.000-0300",Mexico,3
"2025-05-02T01:00:00.000-0300",Singapore,14
"2025-05-02T01:00:00.000-0300",Turkey,3
"2025-05-02T01:00:00.000-0300","United Kingdom",7
"2025-05-02T01:00:00.000-0300","United States",48
"2025-05-02T01:15:00.000-0300",Argentina,10
"2025-05-02T01:15:00.000-0300",Brazil,1
"2025-05-02T01:15:00.000-0300",Bulgaria,1
"2025-05-02T01:15:00.000-0300",Canada,1
"2025-05-02T01:15:00.000-0300",France,1
"2025-05-02T01:15:00.000-0300",Mexico,1
"2025-05-02T01:15:00.000-0300",Singapore,8
"2025-05-02T01:15:00.000-0300","United Kingdom",2
"2025-05-02T01:15:00.000-0300","United States",41
"2025-05-02T01:30:00.000-0300",Argentina,16
"2025-05-02T01:30:00.000-0300",Australia,1
"2025-05-02T01:30:00.000-0300",Brazil,1
"2025-05-02T01:30:00.000-0300",Canada,1
"2025-05-02T01:30:00.000-0300",France,2
"2025-05-02T01:30:00.000-0300",Germany,3
"2025-05-02T01:30:00.000-0300","Russian Federation",1
"2025-05-02T01:30:00.000-0300",Singapore,9
"2025-05-02T01:30:00.000-0300",Turkey,1
"2025-05-02T01:30:00.000-0300","United Kingdom",1
"2025-05-02T01:30:00.000-0300","United States",38
"2025-05-02T01:45:00.000-0300",Argentina,8
"2025-05-02T01:45:00.000-0300",Brazil,1
"2025-05-02T01:45:00.000-0300",Bulgaria,1
"2025-05-02T01:45:00.000-0300",France,2
"2025-05-02T01:45:00.000-0300",Germany,1
"2025-05-02T01:45:00.000-0300",Singapore,8
"2025-05-02T01:45:00.000-0300","United Kingdom",2
"2025-05-02T01:45:00.000-0300","United States",26
"2025-05-02T01:45:00.000-0300","Viet Nam",1
"2025-05-02T02:00:00.000-0300",Argentina,11
"2025-05-02T02:00:00.000-0300",Brazil,1
"2025-05-02T02:00:00.000-0300",Canada,20
"2025-05-02T02:00:00.000-0300","Czech Republic",1
"2025-05-02T02:00:00.000-0300",France,4
